route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,direction_id,wheelchair_accessible,bikes_allowed
L1,L1Domingo25,VUELTAL1Domingo25_46,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_45,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_47,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_46,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_48,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_47,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_49,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_48,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_50,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_49,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_51,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_50,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_52,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_51,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_53,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_52,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_54,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_53,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_55,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_54,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_56,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_55,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_57,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_56,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_58,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_57,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_59,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_58,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_60,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_59,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_61,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_60,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_62,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_61,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_63,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_62,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_64,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_63,Armilla,,1,0,1,1
